train/rewards,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/actor_loss
-0.10163248,83640,0.00959845291856932,102.0,820,56,-8.42147273,1493,0.001,483582,0.9171665497854644
-0.13630186,84048,0.010109753670928744,102.0,824,56,-8.422031060000002,1500,0.001,483990,0.9142792388504627
-0.076599866,84456,0.012843844770709528,102.0,828,56,-8.39065144,1507,0.001,484398,0.9136878310465345
-0.09868633,84864,0.01917474828181131,102.0,832,56,-8.38334203,1515,0.001,484806,0.926378494384242
-0.07192219,85272,0.009236138971412884,102.0,836,56,-8.39533092,1522,0.001,485214,0.8903718462177351
-0.09157907,85680,0.01690695840778633,102.0,840,56,-8.385316750000001,1529,0.001,485622,0.8842161776972752
-0.09195328,86088,0.008643275646118484,102.0,844,56,-8.38009229,1536,0.001,486030,0.9022958851328083
-0.11525624,86496,0.014332055164428027,102.0,848,56,-8.33416666,1544,0.001,486438,0.928333184298347
-0.11501401,86904,0.01143205196907123,102.0,852,56,-8.30447576,1551,0.001,486846,0.8974267326149286
-0.09182999,87312,0.011745328778702328,102.0,856,56,-8.36978302,1558,0.001,487254,0.8798756202061971
-0.08684323,87720,0.014634405521849426,102.0,860,56,-8.386275659999999,1565,0.001,487662,0.9222413278093525
-0.08834555,88128,0.013709580330589019,102.0,864,56,-8.36712296,1573,0.001,488070,0.8651907595933652
-0.078613505,88536,0.01073696757849379,102.0,868,56,-8.37243615,1580,0.001,488478,0.9157348520615521
-0.09637534,88944,0.008537648088189171,102.0,872,56,-8.33598378,1587,0.001,488886,0.8810589196635228
-0.08411422,89352,0.017096996737653206,102.0,876,56,-8.34799213,1594,0.001,489294,0.9081930483088774
-0.13530941,89760,0.009585631134755471,102.0,880,56,-8.32852707,1602,0.001,489702,0.8904985540053424
-0.09143727,90168,0.010057147548935724,102.0,884,56,-8.30840316,1609,0.001,490110,0.8571230476977778
-0.08631477,90576,0.008155016213719385,102.0,888,56,-8.272313910000001,1617,0.001,490518,0.8411314440708534
-0.0693246,90984,0.022862875876336487,102.0,892,56,-8.298415369999999,1624,0.001,490926,0.8629968528654061
-0.08558914,91392,0.0662963080822545,102.0,896,56,-8.30892405,1631,0.001,491334,0.8643286204805561
-0.10775553,91800,0.026991799769366123,102.0,900,56,-8.26592166,1639,0.001,491742,0.876314337347068
-0.07466382,92208,0.007984604613453733,102.0,904,56,-8.27347245,1646,0.001,492150,0.8539813207645043
-0.07916086,92616,0.006936003649196423,102.0,908,56,-8.289865030000001,1653,0.001,492558,0.8573017108674142
-0.1072512,93024,0.02505302890409332,102.0,912,56,-8.3069596,1660,0.001,492966,0.9159425824296241
-0.08800245,93432,0.014427098019879457,102.0,916,56,-8.265086409999999,1668,0.001,493374,0.853858842569239
-0.07422082,93840,0.008822445770241685,102.0,920,56,-8.265873789999999,1675,0.001,493782,0.8566624978009392
-0.09808929,94248,0.010680276138123636,102.0,924,56,-8.24756663,1682,0.001,494190,0.8427187847156151
-0.11737504,94656,0.007306467744010482,102.0,928,56,-8.296176520000001,1690,0.001,494598,0.8209128239575554
-0.10181634,95064,0.012428219157371525,102.0,932,56,-8.28217133,1697,0.001,495006,0.8307543233329174
-0.065363444,95472,0.009227790598136684,102.0,936,56,-8.26535281,1704,0.001,495414,0.8360275719680038
-0.103590995,95880,0.007242052377585103,102.0,940,56,-8.27182919,1711,0.001,495822,0.8583679947198606
-0.109701246,96288,0.008986747347722378,102.0,944,56,-8.28202124,1719,0.001,496230,0.849086646940194
-0.08450232,96696,0.023996936909480057,102.0,948,56,-8.27685863,1726,0.001,496638,0.83246669699164
-0.06523359,97104,0.015509697453429302,102.0,952,56,-8.28704916,1733,0.001,497046,0.8260446260957157
-0.07746314,97512,0.06285699828774394,102.0,956,56,-8.268373500000001,1741,0.001,497454,0.8584481360865575
-0.078889616,97920,0.024126929000440035,102.0,960,56,-8.24911488,1748,0.001,497862,0.8363486294652901
-0.07039168,98328,0.0071755855791635955,102.0,964,56,-8.26844579,1755,0.001,498270,0.8225225864672193
-0.09662183,98736,0.01914391031502472,102.0,968,56,-8.234222539999998,1762,0.001,498678,0.8137486261479995
-0.041554615,99144,0.011822717661476311,102.0,972,56,-8.24633324,1770,0.001,499086,0.8243144551912943
-0.07273207,99552,0.008559218162725516,102.0,976,56,-8.25392578,1777,0.001,499494,0.8356443456574982
-0.069500335,99960,0.007673828184659428,102.0,980,56,-8.264451880000001,1784,0.001,499902,0.8076328296287387
