train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/rewards,time/fps,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates
0.001,764,-131.97110991,9543,-0.87441766,27,28.45016127366286,258232,338.0,7.783313035259585,257894
0.001,768,-131.13736548999998,9593,-0.74563277,27,28.602298680141832,259584,338.0,8.699168064185148,259246
0.001,772,-129.77153378,9641,-0.8861978,27,28.438804118590948,260936,338.0,7.334480350892219,260598
0.001,776,-127.85590101,9689,-0.6096244,27,28.330871457884296,262288,338.0,6.517950329907547,261950
0.001,780,-125.91744595000002,9738,-0.5283343,27,28.517886855898524,263640,338.0,7.602241569016812,263302
0.001,784,-124.67864851,9789,-0.69361067,27,28.23767638347558,264992,338.0,9.794522504482044,264654
0.001,788,-122.35280467000001,9838,-0.7741648,27,28.365417299891366,266344,338.0,10.796130708688814,266006
0.001,792,-121.37767920000002,9887,-0.6991658,27,28.39134234366332,267696,338.0,7.537089952703059,267358
0.001,796,-119.91341615000002,9935,-0.623725,27,28.23609330668252,269048,338.0,11.997606970854765,268710
0.001,800,-118.19870618,9983,-0.7479638,27,28.693164983444664,270400,338.0,11.589960358551973,270062
0.001,804,-116.48819079,10031,-0.75039965,27,28.16818668433195,271752,338.0,8.25334255265061,271414
0.001,808,-114.84266614000002,10080,-0.68174815,27,28.274244252041246,273104,338.0,7.367444124800214,272766
0.001,812,-113.56231857,10128,-0.6729597,27,28.04385558811165,274456,338.0,8.359417785201552,274118
0.001,816,-112.38318788000001,10176,-0.69983697,27,28.241719556278024,275808,338.0,7.946561058244762,275470
0.001,820,-111.50958548000003,10224,-0.6671515,27,27.804765870585243,277160,338.0,8.324481363127218,276822
0.001,824,-109.57064064000001,10647,-1.019099,26,28.16702027856951,278512,338.0,10.404791575917125,278174
0.001,828,-108.18029822,10696,-0.7045664,26,27.954346639870188,279864,338.0,7.1583382483770155,279526
0.001,832,-107.21771865,10744,-0.66382426,26,27.278298282058987,281216,338.0,7.6941014023927545,280878
0.001,836,-106.36267313,10792,-0.600616,26,27.033756391536556,282568,338.0,7.074058568689245,282230
0.001,840,-105.74251122000001,10840,-0.74602646,26,27.26712665896444,283920,338.0,9.15507789017886,283582
0.001,844,-105.09805739,10889,-0.66826326,26,27.54364313881778,285272,338.0,9.091126868005334,284934
0.001,848,-104.56413527999999,10937,-0.65994716,26,27.189182665221086,286624,338.0,9.692115255714167,286286
0.001,852,-103.31872161,10986,-0.76932627,26,27.13101085685414,287976,338.0,6.252205316837017,287638
0.001,856,-102.52089849000002,11034,-0.9482664,26,27.765832901000977,289328,338.0,9.575762307150123,288990
0.001,860,-101.95294722999999,11083,-0.9654573,26,27.90706993419038,290680,338.0,10.166039315201122,290342
0.001,864,-100.82626954999999,11131,-0.85550314,26,27.253827969703448,292032,338.0,6.46014255073649,291694
0.001,868,-100.70045457000002,11180,-0.6033846,26,27.36904780822393,293384,338.0,7.926200677833614,293046
0.001,872,-100.44179500000001,11228,-0.67908067,26,27.44816373791215,294736,338.0,8.575250224072553,294398
0.001,876,-99.93616718999999,11276,-0.54857767,26,26.922092832757173,296088,338.0,9.00589310876011,295750
0.001,880,-99.40143525999999,11324,-0.87096155,26,27.24877658821422,297440,338.0,7.530665549300831,297102
0.001,884,-98.89229943999997,11373,-0.55530727,26,27.611642600516596,298792,338.0,7.255671855084289,298454
0.001,888,-98.78154677999997,11421,-0.7452599,26,27.302852799906532,300144,338.0,8.861794088542814,299806
0.001,892,-98.43661398999998,11469,-0.65635306,26,26.95061307828102,301496,338.0,7.651887367992006,301158
0.001,896,-98.56287662999998,11517,-0.568084,26,27.002381939859784,302848,338.0,7.623688985786495,302510
0.001,900,-98.49663112000002,11566,-0.94136846,26,26.66253106833915,304200,338.0,8.069531275499502,303862
0.001,904,-98.74402481000001,12319,-0.8341954,24,26.74817413691233,305552,338.0,7.468823818236413,305214
0.001,908,-98.75351425,12367,-0.580809,24,26.612407210310536,306904,338.0,7.546711238707311,306566
0.001,912,-98.98006404000002,12415,-0.7301208,24,26.592580998437644,308256,338.0,7.616986375412292,307918
0.001,916,-98.96114521,12464,-0.58878034,24,26.165758640808466,309608,338.0,6.43651299892798,309270
0.001,920,-98.84769238999999,12511,-0.7402578,24,26.395902622380905,310960,338.0,7.782106599423307,310622
0.001,924,-99.06389908999999,14668,-0.50253356,21,26.876271298651158,312312,338.0,7.366896094126109,311974
0.001,928,-99.08097414,14716,-0.5643647,21,26.54529869485889,313664,338.0,6.142203222805931,313326
0.001,932,-98.83968251999998,14765,-0.67985755,21,26.075468875952726,315016,338.0,6.162719285876088,314678
0.001,936,-98.91812351,14811,-0.7408697,21,25.99195396829639,316368,338.0,7.447429328804185,316030
0.001,940,-98.97073083,15845,-0.80469346,20,26.020456449519955,317720,338.0,6.489428615958028,317382
0.001,944,-99.52160819,15893,-0.6798143,20,25.99646097668529,319072,338.0,6.622295030475368,318734
0.001,948,-99.16614088,15939,-0.6689179,20,25.62215299437032,320424,338.0,8.812172254867102,320086
0.001,952,-98.89888855000001,15984,-0.6307273,20,26.16919401270398,321776,338.0,7.328299846874891,321438
0.001,956,-99.04245325,16029,-0.6151216,20,26.01781741260777,323128,338.0,6.7438923926395775,322790
0.001,960,-99.24776397999999,16076,-0.58310616,20,25.709454508222773,324480,338.0,6.543642788949097,324142
0.001,964,-99.69102763000001,16124,-0.53283644,20,25.889950983623077,325832,338.0,7.406844421427631,325494
0.001,968,-99.71232748999999,16171,-0.78785354,20,26.083327118461654,327184,338.0,5.665786856730309,326846
0.001,972,-99.63642374000001,16218,-0.4824027,20,25.68474786521415,328536,338.0,7.89356507352118,328198
0.001,976,-99.81906605,16265,-0.7729429,20,25.590064968583146,329888,338.0,7.986530868788443,329550
0.001,980,-100.02530286999999,16313,-0.8306773,20,25.320306653807148,331240,338.0,6.547310907283478,330902
0.001,984,-99.96097775,16360,-0.7742138,20,25.325956592898397,332592,338.0,6.1170424746691126,332254
0.001,988,-100.27482140999999,16407,-0.70970464,20,25.48470710438384,333944,338.0,5.516594385607003,333606
0.001,992,-100.53471311,16456,-0.7749681,20,25.417545149312218,335296,338.0,8.503457090205695,334958
0.001,996,-100.16554936,16505,-0.6481866,20,25.4525467009234,336648,338.0,7.403522868128218,336310
0.001,1000,-100.1544744,16554,-0.83318,20,25.29788884044399,338000,338.0,6.710697620401721,337662
0.001,1004,-99.96733682,16601,-0.71299154,20,25.559104050404926,339352,338.0,7.778443785637793,339014
0.001,1008,-99.99705555,16648,-0.76437455,20,25.218529436009874,340704,338.0,8.30904086136959,340366
0.001,1012,-99.65919401000002,16695,-0.77994156,20,25.86300779940814,342056,338.0,6.115358913614905,341718
0.001,1016,-99.38413524000002,16742,-0.7290202,20,25.338326866104758,343408,338.0,8.542188348678442,343070
0.001,1020,-99.13876012,16789,-0.77724755,20,25.2055164314586,344760,338.0,8.517936491754634,344422
0.001,1024,-98.65028554999999,16836,-0.5876925,20,25.63135972107656,346112,338.0,6.898666381659592,345774
0.001,1028,-98.40730837000001,16883,-0.91843957,20,25.33670368984606,347464,338.0,7.755760742009744,347126
0.001,1032,-98.16697457000001,16931,-0.58875597,20,25.418234819491236,348816,338.0,5.800976176410032,348478
0.001,1036,-97.72180801000002,16978,-0.5362047,20,25.203218471369095,350168,338.0,7.131107660616643,349830
0.001,1040,-97.35837047999999,17025,-0.5733477,20,25.0158159718711,351520,338.0,7.777761184957606,351182
