rollout/ep_len_mean,rollout/ep_rew_mean,train/rewards,time/total_timesteps,time/fps,train/n_updates,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,train/critic_loss
102.0,-8.3251188,-0.54503626,75072,55,175032,736,8.628193799187155,1359,0.001,3.0233051762277006
102.0,-8.22651007,-0.5888224,75480,55,175440,740,8.621346763536042,1367,0.001,2.300969514484499
102.0,-8.22524165,-0.5867479,75888,55,175848,744,8.457011830572988,1374,0.001,2.18515625946662
102.0,-8.195561009999999,-0.5326067,76296,55,176256,748,8.454717458463183,1381,0.001,2.621437906634574
102.0,-8.102944250000002,-0.60349554,76704,55,176664,752,8.465444200179157,1389,0.001,2.5661180469335294
102.0,-8.084650920000001,-0.66303223,77112,55,177072,756,8.447106903674555,1396,0.001,3.384836821287286
102.0,-8.065525649999998,-0.6021825,77520,55,177480,760,8.14726468628528,1403,0.001,3.0244040030474757
102.0,-8.07275625,-0.41962615,77928,55,177888,764,8.116569556441961,1411,0.001,2.570516687690043
102.0,-8.0393443,-0.49311578,78336,55,178296,768,8.051669541527243,1418,0.001,8.457820907527326
102.0,-7.97857367,-0.53008944,78744,55,178704,772,8.013624527875114,1425,0.001,2.610233990585103
102.0,-7.832698209999998,-0.5073792,79152,55,179112,776,7.990985945159314,1433,0.001,2.093552519877752
102.0,-7.773877439999999,-0.54567546,79560,55,179520,780,7.786707279728908,1440,0.001,2.967446129403862
102.0,-7.77157462,-0.4123137,79968,55,179928,784,7.855001094294529,1447,0.001,2.0164602048256817
102.0,-7.7007517000000005,-0.4605872,80376,55,180336,788,7.751985998714671,1455,0.001,2.390258010988142
102.0,-7.648692990000001,-0.560415,80784,55,180744,792,7.635629971822103,1462,0.001,2.279754440281905
102.0,-7.6179651500000025,-0.57039106,81192,55,181152,796,7.370501462151022,1469,0.001,1.92295432324503
102.0,-7.60770984,-0.47364694,81600,55,181560,800,7.4009367811913584,1477,0.001,1.8425471798754205
102.0,-7.545360990000001,-0.4809617,82008,55,181968,804,7.2209666383032705,1484,0.001,1.8740907907485962
102.0,-7.49848197,-0.43317887,82416,55,182376,808,7.0396936454024965,1491,0.001,2.1821621656417847
102.0,-7.45372537,-0.4724633,82824,55,182784,812,7.129884916193345,1499,0.001,2.0331909555722687
102.0,-7.41470711,-0.4844826,83232,55,183192,816,6.9922885146795535,1506,0.001,2.7954963524551952
102.0,-7.30627178,-0.3713876,83640,55,183600,820,6.770844889622109,1513,0.001,2.0050754550040937
102.0,-7.24115801,-0.47972134,84048,55,184008,824,6.686249919966156,1521,0.001,2.145777295033137
102.0,-7.182710680000001,-0.6606279,84456,55,184416,828,6.882998971378102,1528,0.001,7.820638206221309
102.0,-7.080505579999999,-0.5645314,84864,55,184824,832,6.670628257826263,1536,0.001,1.4612630745943855
102.0,-6.973172759999999,-0.7385036,85272,55,185232,836,6.3972218176897835,1543,0.001,2.7963131528859044
102.0,-6.957559449999999,-0.46542192,85680,55,185640,840,6.477969693202598,1550,0.001,1.8940814809471953
102.0,-6.906444929999999,-0.32960075,86088,55,186048,844,6.118944691676719,1558,0.001,1.7075627434487437
102.0,-6.93008047,-0.53511393,86496,55,186456,848,6.256556567023782,1565,0.001,1.862462424180087
102.0,-6.90457305,-0.42303494,86904,55,186864,852,6.0639256309060485,1573,0.001,1.503218302247571
102.0,-6.85887146,-0.41409093,87312,55,187272,856,5.9964561649397305,1580,0.001,1.7551446990931736
102.0,-6.830061,-0.83774877,87720,55,187680,860,6.112887859344482,1587,0.001,2.2108354325972353
102.0,-6.759362819999999,-0.48456952,88128,55,188088,864,5.8999268120410395,1595,0.001,1.7815446377384896
102.0,-6.7429401900000006,-0.58522475,88536,55,188496,868,5.931662092021868,1602,0.001,1.3222760347759022
102.0,-6.72612955,-0.5852152,88944,55,188904,872,5.773502060011322,1610,0.001,1.7178052809892916
102.0,-6.713409240000001,-0.3951867,89352,55,189312,876,5.696019303564932,1617,0.001,3.384356006395583
102.0,-6.69742143,-0.4661252,89760,55,189720,880,5.711101728327134,1624,0.001,1.258436649599496
102.0,-6.6483273800000005,-0.6880874,90168,55,190128,884,5.642433175853655,1632,0.001,1.5405613337369526
102.0,-6.619740029999999,-0.41856685,90576,55,190536,888,5.636768845950856,1639,0.001,1.9997151657646777
102.0,-6.591927000000002,-0.6022901,90984,55,190944,892,5.400764904770196,1646,0.001,1.3061511404081887
102.0,-6.54370983,-0.5055931,91392,55,191352,896,5.38686305401372,1654,0.001,8.182140115867643
102.0,-6.514638560000001,-0.26953638,91800,55,191760,900,5.316637011135326,1661,0.001,1.411103580073983
102.0,-6.50623324,-0.50907373,92208,55,192168,904,5.262153569389792,1669,0.001,1.1951149970877404
102.0,-6.463206479999999,-0.40854904,92616,55,192576,908,5.214599796369964,1676,0.001,1.2179960850991456
102.0,-6.43148157,-0.3783122,93024,55,192984,912,5.071089688469382,1683,0.001,0.9014673940106934
102.0,-6.4084696800000005,-0.38160855,93432,55,193392,916,5.047874282388126,1691,0.001,1.3643929544909328
102.0,-6.45469498,-0.3672725,93840,55,193800,920,5.078076054068172,1698,0.001,1.9179354873942394
102.0,-6.47816724,-0.93109304,94248,55,194208,924,4.967252422781551,1706,0.001,1.3619043206175168
102.0,-6.493741240000002,-0.56912094,94656,55,194616,928,4.89749646654316,1713,0.001,1.677625254965296
102.0,-6.49395217,-0.44934493,95064,55,195024,932,4.889399706148634,1721,0.001,1.5123983916698718
102.0,-6.49979364,-0.526441,95472,55,195432,936,4.869406026952407,1728,0.001,1.462533870017996
102.0,-6.5041679000000014,-0.4605727,95880,55,195840,940,4.88361845296972,1735,0.001,0.8530336418280414
102.0,-6.49405771,-0.40751404,96288,55,196248,944,4.848842789145077,1743,0.001,1.3057971446245324
102.0,-6.440632409999999,-0.5311524,96696,55,196656,948,4.756537778704774,1750,0.001,1.334001286357057
102.0,-6.4421403,-0.50225186,97104,55,197064,952,4.633922661052031,1757,0.001,0.8741481098182061
102.0,-6.4797800500000005,-0.34276375,97512,55,197472,956,4.785518094605091,1765,0.001,0.9595559487740198
102.0,-6.55329807,-0.57893544,97920,55,197880,960,4.616469093397552,1772,0.001,1.2515716099855947
102.0,-6.588563679999998,-0.4557258,98328,55,198288,964,4.750194156871123,1779,0.001,1.154373198601545
102.0,-6.63830531,-0.40027928,98736,55,198696,968,4.541061583687277,1787,0.001,1.7047670916015027
102.0,-6.72180551,-0.45002487,99144,55,199104,972,4.7997653390847,1794,0.001,1.0785391386233123
102.0,-6.7636213199999995,-0.3570224,99552,55,199512,976,4.565465973872764,1802,0.001,7.10456979084833
102.0,-6.776457980000003,-0.31648028,99960,55,199920,980,4.460537531796624,1809,0.001,0.9536443825299833
