time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.412474895809211,3690,207264,-0.09893387,307224,0.001,2032,102.0,0.0013700677695405652,-8.019697189999999
56,0.44055674999367955,3697,207672,-0.06556937,307632,0.001,2036,102.0,0.0013549591141568003,-7.99461255
56,0.43433766622169345,3704,208080,-0.10546813,308040,0.001,2040,102.0,0.0013960363270883796,-7.970925700000001
56,0.44200261755316866,3712,208488,-0.07371476,308448,0.001,2044,102.0,0.001573488730868763,-7.97432575
56,0.4553789110744701,3719,208896,-0.08266476,308856,0.001,2048,102.0,0.0013046805555966463,-7.964744050000002
56,0.4244591400903814,3726,209304,-0.0986199,309264,0.001,2052,102.0,0.0012279096776824992,-7.965119420000001
56,0.4762050062417984,3733,209712,-0.116920106,309672,0.001,2056,102.0,0.0016761680850393924,-7.906981860000001
56,0.4174322687527713,3740,210120,-0.092796154,310080,0.001,2060,102.0,0.0014463750424100925,-7.911736049999999
56,0.44094405834581335,3747,210528,-0.045002133,310488,0.001,2064,102.0,0.0016851864419032947,-7.88007361
56,0.4386622709970848,3755,210936,-0.059786502,310896,0.001,2068,102.0,0.0025199071713038444,-7.819295080000001
56,0.45615681772138555,3762,211344,-0.09104867,311304,0.001,2072,102.0,0.0013873401511969574,-7.77266002
56,0.43634077293031354,3769,211752,-0.086978935,311712,0.001,2076,102.0,0.0014401076853163448,-7.731788489999999
56,0.413087598249024,3776,212160,-0.09655817,312120,0.001,2080,102.0,0.0012090023620996862,-7.7698398200000005
56,0.4159955794320387,3783,212568,-0.07463947,312528,0.001,2084,102.0,0.0013171424585629674,-7.759148530000001
56,0.45059216986684236,3790,212976,-0.05534793,312936,0.001,2088,102.0,0.002208595269692916,-7.767701489999999
56,0.4429772694905599,3798,213384,-0.109657906,313344,0.001,2092,102.0,0.0013256583991403436,-7.756745339999998
56,0.42301256063522075,3805,213792,-0.06659921,313752,0.001,2096,102.0,0.0015912738131637703,-7.80222832
56,0.4501279236054888,3812,214200,-0.114639446,314160,0.001,2100,102.0,0.001620946459725554,-7.805759429999999
56,0.47414882101264655,3819,214608,-0.07338946,314568,0.001,2104,102.0,0.0016084504818804015,-7.79730722
56,0.42806417904063765,3826,215016,-0.10428849,314976,0.001,2108,102.0,0.0027154496576044683,-7.815324800000001
56,0.4705330840512818,3833,215424,-0.11589395,315384,0.001,2112,102.0,0.0015249516853181571,-7.806189280000001
56,0.4308936268675561,3841,215832,-0.039825123,315792,0.001,2116,102.0,0.0015664928411270546,-7.81166982
56,0.43566299215251325,3848,216240,-0.06331367,316200,0.001,2120,102.0,0.0017553285861675464,-7.818359480000001
56,0.41559969940606284,3855,216648,-0.039460517,316608,0.001,2124,102.0,0.001866064239555842,-7.820937870000002
56,0.447109156963872,3862,217056,-0.06658695,317016,0.001,2128,102.0,0.001995201809811132,-7.799694390000001
56,0.4094403356898065,3869,217464,-0.07732309,317424,0.001,2132,102.0,0.0014276252906853973,-7.830493010000001
56,0.4176812510864407,3876,217872,-0.09002348,317832,0.001,2136,102.0,0.0012954560845494544,-7.822126040000001
56,0.43246594977145103,3884,218280,-0.10543141,318240,0.001,2140,102.0,0.0013658695286579256,-7.853660299999999
56,0.42953546608195586,3891,218688,-0.060298312,318648,0.001,2144,102.0,0.0012564221725173696,-7.8737744900000015
56,0.43012645080977796,3898,219096,-0.071172,319056,0.001,2148,102.0,0.0026701119177410947,-7.8870313
56,0.4388723887649237,3905,219504,-0.08089767,319464,0.001,2152,102.0,0.0013952794913932973,-7.8868446599999995
56,0.47683214761462867,3912,219912,-0.058300763,319872,0.001,2156,102.0,0.0015951654910596141,-7.873583850000001
56,0.44998811039270137,3919,220320,-0.071594305,320280,0.001,2160,102.0,0.0014090879275874399,-7.82970794
56,0.42235961322690924,3927,220728,-0.084166996,320688,0.001,2164,102.0,0.0013687030367174314,-7.8437803299999995
56,0.4097223977247874,3934,221136,-0.06829743,321096,0.001,2168,102.0,0.002037547068931756,-7.866248779999999
56,0.45865271634915294,3941,221544,-0.12793411,321504,0.001,2172,102.0,0.0015400000618184077,-7.90023037
56,0.39100806736478616,3948,221952,-0.046394654,321912,0.001,2176,102.0,0.0014594511406304425,-7.910383310000001
56,0.4319454904864816,3955,222360,-0.083122164,322320,0.001,2180,102.0,0.0017090958712038164,-7.87489421
56,0.4463094621896744,3962,222768,-0.081715554,322728,0.001,2184,102.0,0.001661561896873857,-7.846665780000002
56,0.4405706989414552,3970,223176,-0.060993023,323136,0.001,2188,102.0,0.0014359668446773226,-7.86617838
56,0.4346895454561009,3977,223584,-0.08321393,323544,0.001,2192,102.0,0.0016712023087380016,-7.83193259
56,0.4166712272985309,3984,223992,-0.052672572,323952,0.001,2196,102.0,0.0014852958506797259,-7.796378699999999
56,0.4800750309345769,3991,224400,-0.07625719,324360,0.001,2200,102.0,0.0016427562593747222,-7.792867739999999
56,0.43865113281736184,3998,224808,-0.07637959,324768,0.001,2204,102.0,0.002776204633775313,-7.814324579999999
56,0.44311317275552187,4005,225216,-0.08408015,325176,0.001,2208,102.0,0.0011862453070980515,-7.798404769999999
56,0.43776584781852423,4013,225624,-0.056203496,325584,0.001,2212,102.0,0.0014010777282665538,-7.796534489999998
56,0.4072166885815415,4020,226032,-0.09723709,325992,0.001,2216,102.0,0.0015189697670375964,-7.79278464
56,0.43846182671247746,4027,226440,-0.06964114,326400,0.001,2220,102.0,0.0018938616711096199,-7.778970080000001
56,0.48374468964688916,4034,226848,-0.075062774,326808,0.001,2224,102.0,0.0014821430622581758,-7.798482459999999
56,0.4601161906532213,4041,227256,-0.06416359,327216,0.001,2228,102.0,0.0014954407815821469,-7.81507091
56,0.4695852918952119,4048,227664,-0.05373096,327624,0.001,2232,102.0,0.001307733024969268,-7.83072759
